HRJobContract-id,HRJobContract-contact_id,HRJobDetails-position,HRJobDetails-title,HRJobDetails-funding_notes,HRJobDetails-contract_type,HRJobDetails-period_start_date,HRJobDetails-period_end_date,HRJobDetails-end_reason,HRJobDetails-notice_amount,HRJobDetails-notice_unit,HRJobDetails-notice_amount_employee,HRJobDetails-notice_unit_employee,HRJobDetails-location,HRJobHealth-provider,HRJobHealth-plan_type,HRJobHealth-description,HRJobHealth-dependents,HRJobHealth-provider_life_insurance,HRJobHealth-plan_type_life_insurance,HRJobHealth-description_life_insurance,HRJobHealth-dependents_life_insurance,HRJobHour-location_standard_hours,HRJobHour-hours_type,HRJobHour-hours_amount,HRJobHour-hours_unit,HRJobHour-hours_fte,HRJobHour-fte_num,HRJobHour-fte_denom,HRJobPay-pay_scale,HRJobPay-is_paid,HRJobPay-pay_amount,HRJobPay-pay_unit,HRJobPay-pay_currency,HRJobPay-pay_annualized_est,HRJobPay-pay_is_auto_est,HRJobPay-annual_benefits,HRJobPay-pay_cycle,HRJobPay-pay_per_cycle_gross,HRJobPay-pay_per_cycle_net,HRJobPension-is_enrolled,HRJobPension-ee_contrib_pct,HRJobPension-er_contrib_pct,HRJobPension-pension_type,HRJobLeave-leave_amount
71,307,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,7/17/2007,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,32,Week,0.84,16,19,E4,Paid,44042,Year,GBP (£),44042,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3670.17,3720.17,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
72,308,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,6/8/2005,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Part_Time,32,Week,0.84,16,19,E4,Paid,49095,Year,GBP (£),49095,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4091.25,4141.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
73,309,Manager - External Relations,Manager - External Relations,Funded from corpus,Employee_Permanent,11/8/2013,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Part_Time,34,Week,0.85,17,20,E3,Paid,58395,Year,GBP (£),58395,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4866.25,4916.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
74,310,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,7/29/2012,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,22,Week,0.58,11,19,E4,Paid,34563,Year,GBP (£),34563,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2880.25,2930.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
75,311,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,11/15/2014,,,3,Month,3,Month,Hammersmith,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Hammersmith,Part_Time,34,Week,0.89,17,19,E4,Paid,46347,Year,GBP (£),46347,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3862.25,3912.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
76,312,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,2/19/2012,,,3,Month,3,Month,Islington,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Islington,Part_Time,32,Week,0.84,16,19,E4,Paid,45726,Year,GBP (£),45726,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3810.5,3860.5,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
77,313,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Fixed Term,11/24/2015,11/24/2017,Planned,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Part_Time,32,Week,0.84,16,19,E4,Paid,46653,Year,GBP (£),46653,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3887.75,3937.75,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
78,314,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,6/10/2014,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,28,Week,0.74,14,19,E4,Paid,37505,Year,GBP (£),37505,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3125.42,3175.42,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
79,315,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,2/21/2002,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Part_Time,20,Week,0.53,10,19,E4,Paid,29526,Year,GBP (£),29526,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2460.5,2510.5,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
80,316,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,9/9/2007,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Part_Time,33,Week,0.87,33,38,E4,Paid,45939,Year,GBP (£),45939,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3828.25,3878.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
81,317,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,1/22/1998,,,3,Month,3,Month,Islington,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Islington,Part_Time,20,Week,0.53,10,19,E4,Paid,30526,Year,GBP (£),30526,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2543.83,2593.83,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
82,318,Head of Marketing & Fundraising,Head of Marketing & Fundraising,Funded from corpus,Employee_Permanent,11/29/2007,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Part_Time,32,Week,0.8,4,5,E2,Paid,59840,Year,GBP (£),59840,1,,Monthly,4986.67,4986.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
83,319,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,6/25/1998,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Part_Time,35,Week,0.92,35,38,E4,Paid,53237,Year,GBP (£),53237,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4436.42,4486.42,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
84,320,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,6/25/2013,,,3,Month,3,Month,Hammersmith,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Hammersmith,Part_Time,20,Week,0.53,10,19,E4,Paid,28158,Year,GBP (£),28158,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2346.5,2396.5,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
85,321,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Fixed Term,8/15/2009,8/15/2019,Planned,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Part_Time,32,Week,0.84,16,19,E4,Paid,43789,Year,GBP (£),43789,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3649.08,3699.08,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
86,322,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,11/16/1996,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Part_Time,36,Week,0.95,18,19,E4,Paid,55895,Year,GBP (£),55895,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4657.92,4707.92,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
87,323,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,1/28/1999,,,3,Month,3,Month,Stratford,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Stratford,Part_Time,32,Week,0.84,16,19,E4,Paid,44211,Year,GBP (£),44211,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3684.25,3734.25,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
88,324,Deputy Manager - HR,Deputy Manager - HR,Funded from corpus,Employee_Permanent,11/17/2003,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Part_Time,20,Week,0.5,1,2,E3,Paid,30250,Year,GBP (£),30250,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2520.83,2570.83,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:14,TOIL:0,Other:2,Compassionate_Leave:2,Parental_Leave:0"
89,325,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,6/7/2000,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Part_Time,25,Week,0.66,25,38,E4,Paid,33487,Year,GBP (£),33487,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,2790.58,2840.58,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
90,326,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,11/23/1998,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Part_Time,24,Week,0.63,12,19,E4,Paid,37642,Year,GBP (£),37642,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3136.83,3186.83,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
91,327,Manager - Direct Marketing,Manager - Direct Marketing,Funded from corpus,Employee_Permanent,10/29/2014,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Full_Time,,Week,0,1,1,E3,Paid,64500,Year,GBP (£),64500,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,5375,5425,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
92,328,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,4/2/2011,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E4,Paid,58100,Year,GBP (£),58100,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4841.67,4891.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
93,329,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,6/18/2007,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E4,Paid,58800,Year,GBP (£),58800,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4900,4950,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
94,330,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Fixed Term,2/26/2012,2/26/2018,Planned,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,38,Week,1,1,1,E4,Paid,50600,Year,GBP (£),50600,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4216.67,4266.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
95,331,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,12/22/2009,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E4,Paid,56700,Year,GBP (£),56700,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4725,4775,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
96,332,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,11/28/2006,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Full_Time,,Week,0,1,1,E4,Paid,53900,Year,GBP (£),53900,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4491.67,4541.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
97,333,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,1/31/2005,,,3,Month,3,Month,Clapham,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Clapham,Full_Time,,Week,0,1,1,E4,Paid,58600,Year,GBP (£),58600,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4883.33,4933.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
98,334,Book Keeper,Book Keeper,Donor funded position,Employee_Permanent,11/18/2004,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Full_Time,,Week,0,1,1,E5,Paid,32200,Year,GBP (£),32200,1,,Monthly,2683.33,2683.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
99,335,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,3/19/1997,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E4,Paid,52300,Year,GBP (£),52300,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4358.33,4408.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
100,336,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,1/3/2009,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,,Week,0,1,1,E4,Paid,56200,Year,GBP (£),56200,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4683.33,4733.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
101,337,Subject Head - Numeracy,Subject Head - Numeracy,Donor funded position,Employee_Permanent,5/12/2014,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E4,Paid,58500,Year,GBP (£),58500,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4875,4925,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
102,338,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,10/30/1997,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E4,Paid,53200,Year,GBP (£),53200,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4433.33,4483.33,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
103,339,Community Mobilizer,Community Mobilizer,Donor funded position,Employee_Permanent,1/12/2002,,,3,Month,3,Month,Clapham,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Clapham,Full_Time,,Week,0,1,1,E5,Paid,34400,Year,GBP (£),34400,1,,Monthly,2866.67,2866.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
104,340,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,1/15/1999,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,,Week,0,1,1,E4,Paid,55500,Year,GBP (£),55500,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4625,4675,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
105,341,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,12/30/2011,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E4,Paid,55100,Year,GBP (£),55100,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4591.67,4641.67,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
106,342,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,8/12/2011,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E4,Paid,51000,Year,GBP (£),51000,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4250,4300,1,5,5,346,"Sick:0,Annual Leave:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"